dt_competencia,demitido,ativos,admissoes,y,attrition_18a27,attrition_27a30,attrition_0a35,attrition_35a40,attrition_40mais,ds
2018-01-01,9.0,518.0,44.0,8.0,2.0,4.0,2.0,0.0,0.0,2018-01-01
2018-02-01,6.0,518.0,25.0,15.0,5.0,2.0,4.0,2.0,2.0,2018-02-01
2018-03-01,4.0,557.0,57.0,10.0,4.0,2.0,2.0,1.0,1.0,2018-03-01
2018-04-01,7.0,563.0,28.0,15.0,6.0,0.0,5.0,4.0,0.0,2018-04-01
2018-05-01,18.0,574.0,42.0,13.0,5.0,4.0,3.0,1.0,0.0,2018-05-01
2018-06-01,4.0,578.0,17.0,9.0,2.0,1.0,4.0,1.0,1.0,2018-06-01
2018-07-01,7.0,614.0,50.0,7.0,2.0,0.0,2.0,3.0,0.0,2018-07-01
2018-08-01,5.0,626.0,31.0,12.0,4.0,2.0,2.0,4.0,0.0,2018-08-01
2018-09-01,9.0,633.0,27.0,11.0,2.0,4.0,2.0,3.0,0.0,2018-09-01
2018-10-01,3.0,550.0,26.0,7.0,1.0,2.0,2.0,2.0,0.0,2018-10-01
2018-11-01,4.0,561.0,30.0,15.0,8.0,2.0,3.0,2.0,0.0,2018-11-01
2018-12-01,2.0,582.0,38.0,14.0,5.0,2.0,5.0,2.0,0.0,2018-12-01
2019-01-01,4.0,621.0,61.0,14.0,3.0,2.0,6.0,2.0,1.0,2019-01-01
2019-02-01,4.0,653.0,53.0,15.0,2.0,2.0,5.0,2.0,4.0,2019-02-01
2019-03-01,1.0,709.0,78.0,19.0,4.0,4.0,6.0,4.0,1.0,2019-03-01
2019-04-01,5.0,766.0,93.0,25.0,5.0,7.0,10.0,2.0,1.0,2019-04-01
2019-05-01,7.0,852.0,81.0,27.0,4.0,8.0,9.0,5.0,1.0,2019-05-01
2019-06-01,6.0,846.0,78.0,36.0,12.0,6.0,12.0,4.0,2.0,2019-06-01
2019-07-01,3.0,923.0,57.0,32.0,10.0,5.0,10.0,5.0,2.0,2019-07-01
2019-08-01,14.0,869.0,52.0,32.0,7.0,5.0,7.0,10.0,3.0,2019-08-01
2019-09-01,11.0,903.0,83.0,38.0,16.0,8.0,5.0,7.0,2.0,2019-09-01
2019-10-01,5.0,935.0,83.0,46.0,11.0,9.0,16.0,8.0,2.0,2019-10-01
2019-11-01,4.0,977.0,73.0,30.0,7.0,5.0,5.0,8.0,5.0,2019-11-01
2019-12-01,7.0,973.0,42.0,39.0,10.0,10.0,11.0,5.0,3.0,2019-12-01
2020-01-01,11.0,983.0,52.0,28.0,6.0,11.0,4.0,3.0,4.0,2020-01-01
2020-02-01,15.0,993.0,56.0,31.0,8.0,6.0,12.0,4.0,1.0,2020-02-01
2020-03-01,1.0,1077.0,112.0,27.0,6.0,4.0,11.0,2.0,4.0,2020-03-01
2020-04-01,7.0,1175.0,121.0,16.0,3.0,4.0,5.0,1.0,3.0,2020-04-01
2020-05-01,4.0,1296.0,136.0,11.0,4.0,1.0,1.0,3.0,2.0,2020-05-01
2020-06-01,4.0,1420.0,144.0,16.0,4.0,3.0,5.0,2.0,2.0,2020-06-01
2020-07-01,14.0,1495.0,104.0,15.0,1.0,5.0,2.0,3.0,4.0,2020-07-01
2020-08-01,9.0,1582.0,123.0,27.0,5.0,8.0,6.0,3.0,5.0,2020-08-01
2020-09-01,7.0,1676.0,142.0,41.0,10.0,13.0,7.0,8.0,3.0,2020-09-01
2020-10-01,4.0,1772.0,133.0,33.0,7.0,8.0,10.0,6.0,2.0,2020-10-01
2020-11-01,3.0,1896.0,171.0,44.0,6.0,7.0,16.0,9.0,6.0,2020-11-01
2020-12-01,16.0,1955.0,102.0,27.0,5.0,2.0,14.0,4.0,2.0,2020-12-01
2021-01-01,6.0,2076.0,155.0,28.0,8.0,5.0,7.0,5.0,3.0,2021-01-01
2021-02-01,6.0,2199.0,169.0,40.0,10.0,7.0,11.0,8.0,4.0,2021-02-01
